Asset,Weight
McDonald's_MCD_2020_2024,0.10577
Cisco Systems_CSCO_2020_2024,0.0
Nike_NKE_2020_2024,0.0
American Express_AXP_2020_2024,0.0
Merck_MRK_2020_2024,0.10727
Disney_DIS_2020_2024,0.0
Johnson & Johnson_JNJ_2020_2024,0.16127
Coca-Cola_KO_2020_2024,0.01299
Verizon_VZ_2020_2024,0.21051
Salesforce_CRM_2020_2024,0.0
Walmart_WMT_2020_2024,0.18984
Microsoft_MSFT_2020_2024,0.0
UnitedHealth Group_UNH_2020_2024,0.0
The Travelers Companies_TRV_2020_2024,0.0
Honeywell_HON_2020_2024,0.0
Walgreens Boots Alliance_WBA_2020_2024,0.0
Amgen_AMGN_2020_2024,0.00362
Goldman Sachs_GS_2020_2024,0.0
Dow Inc._DOW_2020_2024,0.0
Caterpillar_CAT_2020_2024,0.00796
Visa_V_2020_2024,0.0
Procter & Gamble_PG_2020_2024,0.01885
JPMorgan Chase_JPM_2020_2024,0.0
3M_MMM_2020_2024,0.02184
Home Depot_HD_2020_2024,0.0
Chevron_CVX_2020_2024,0.0
Apple_AAPL_2020_2024,0.0
IBM_IBM_2020_2024,0.0
Intel_INTC_2020_2024,0.0
Boeing_BA_2020_2024,0.0
V_2020_2024,0.0
TSLA_2020_2024,0.0
PFE_2020_2024,0.04624
AMZN_2020_2024,0.03636
NFLX_2020_2024,0.01123
BRK-B_2020_2024,0.0
GOOGL_2020_2024,0.0
NVDA_2020_2024,0.0
META_2020_2024,0.0
KO_2020_2024,0.06626
DOW_JONES_2020_2024,0.0
